ims_id,TRX_Qty,trgt_flg,cal_dt
407440,57.18,N,1/1/2012 0:00
389839,86.9,N,1/1/2012 0:00
389839,84.58,N,2/1/2012 0:00
390384,65.18,N,3/1/2012 0:00
390410,77.73,Y,4/1/2012 0:00
390463,67.28,Y,5/1/2012 0:00
390463,0,Y,9/1/2012 0:00
390463,32.82,Y,10/1/2012 0:00
390463,0,Y,11/1/2012 0:00
391229,209.49,Y,1/1/2012 0:00
391229,208.25,Y,2/1/2012 0:00
391229,69.68,Y,3/1/2012 0:00
391229,97.58,Y,5/1/2012 0:00
391229,105.28,Y,6/1/2012 0:00
391229,101.58,Y,7/1/2012 0:00
391229,99.17,Y,8/1/2012 0:00
391229,95.81,Y,9/1/2012 0:00
391229,154.87,Y,10/1/2012 0:00
391229,102,Y,11/1/2012 0:00
391229,94.79,Y,12/1/2012 0:00
391238,66.3,Y,2/1/2012 0:00
391238,132.07,Y,3/1/2012 0:00
391238,374.71,Y,4/1/2012 0:00
391238,119.4,Y,5/1/2012 0:00
489953,96.79,Y,5/1/2012 0:00
489953,85.04,Y,7/1/2012 0:00
489953,129.02,Y,8/1/2012 0:00
489953,0,Y,9/1/2012 0:00
489953,66.23,Y,10/1/2012 0:00
489953,98.07,Y,11/1/2012 0:00
489953,313.54,Y,12/1/2012 0:00
706495,71.66,N,12/1/2012 0:00
685058,117,Y,1/1/2012 0:00
685058,21.24,Y,5/1/2012 0:00
685058,179.1,Y,12/1/2012 0:00
685477,75.93,Y,1/1/2012 0:00
685477,76,Y,2/1/2012 0:00
685477,81.82,Y,3/1/2012 0:00
685477,81.93,Y,5/1/2012 0:00
685477,138.34,Y,8/1/2012 0:00
685477,0,Y,9/1/2012 0:00
685477,67.54,Y,10/1/2012 0:00
685477,68.16,Y,11/1/2012 0:00
685477,0,Y,12/1/2012 0:00
686449,80.55,Y,4/1/2012 0:00
686449,185.72,Y,12/1/2012 0:00
686459,100.35,Y,9/1/2012 0:00
686459,0,Y,10/1/2012 0:00
686459,124.04,Y,11/1/2012 0:00
686459,0,Y,12/1/2012 0:00
686466,69.27,N,1/1/2012 0:00
686466,69.71,N,3/1/2012 0:00
686466,72.65,N,4/1/2012 0:00
686466,72.87,N,5/1/2012 0:00
686466,75.88,N,6/1/2012 0:00
686466,70.91,N,8/1/2012 0:00
686466,0,N,9/1/2012 0:00
686466,71.81,N,10/1/2012 0:00
686466,125.4,N,11/1/2012 0:00
686466,71.69,N,12/1/2012 0:00
686514,0,N,9/1/2012 0:00
686514,0,N,10/1/2012 0:00
686514,80.07,N,11/1/2012 0:00
686514,0,N,12/1/2012 0:00
686516,182.23,N,3/1/2012 0:00
744804,63.59,N,6/1/2012 0:00
744804,122.13,N,9/1/2012 0:00
744804,63.09,N,10/1/2012 0:00
744804,61.92,N,11/1/2012 0:00
744804,0,N,12/1/2012 0:00
747442,72.15,N,3/1/2012 0:00
747471,148.11,Y,2/1/2012 0:00
747471,130.78,Y,3/1/2012 0:00
747471,67.97,Y,4/1/2012 0:00
747471,94.24,Y,5/1/2012 0:00
747471,69.01,Y,7/1/2012 0:00
747471,65.46,Y,8/1/2012 0:00
747471,0,Y,9/1/2012 0:00
747471,66.18,Y,10/1/2012 0:00
747471,0,Y,11/1/2012 0:00
747471,0,Y,12/1/2012 0:00
747637,84.17,Y,6/1/2012 0:00
747637,159.16,Y,8/1/2012 0:00
747637,63.96,Y,9/1/2012 0:00
747637,78.79,Y,10/1/2012 0:00
747637,77.1,Y,11/1/2012 0:00
747637,0,Y,12/1/2012 0:00
747870,74.02,Y,3/1/2012 0:00
748024,63.39,Y,4/1/2012 0:00
748024,65.19,Y,6/1/2012 0:00
748024,62.45,Y,8/1/2012 0:00
748024,119.88,Y,9/1/2012 0:00
748024,0,Y,10/1/2012 0:00
748024,0,Y,11/1/2012 0:00
748024,60.9,Y,12/1/2012 0:00
755866,68.36,Y,2/1/2012 0:00
755866,71.02,Y,4/1/2012 0:00
755866,72.48,Y,6/1/2012 0:00
755866,70.49,Y,9/1/2012 0:00
755866,0,Y,10/1/2012 0:00
755866,143.38,Y,11/1/2012 0:00
755866,0,Y,12/1/2012 0:00
718218,0,Y,9/1/2012 0:00
718218,0,Y,10/1/2012 0:00
718218,69.52,Y,11/1/2012 0:00
718218,0,Y,12/1/2012 0:00
720958,80.95,N,12/1/2012 0:00
